[2023-01-21 13:11:28] No settings files found: /home/kyle/.local/share/Mindustry/settings.bin and /home/kyle/.local/share/Mindustry/settings_backup.bin
[2023-01-24 10:08:45] Saving 862 values; 29585 bytes
[2023-01-24 10:09:41] Saving 862 values; 29585 bytes
[2023-01-24 10:09:45] Loaded 862 values
[2023-01-24 10:09:45] Backed up /home/kyle/.local/share/Mindustry/settings.bin to /home/kyle/.local/share/Mindustry/settings_backup.bin (29585 bytes)
[2023-01-24 10:09:48] Saving 862 values; 29585 bytes
[2023-01-24 10:09:58] Saving 862 values; 29585 bytes
[2023-01-24 10:09:58] Saving 862 values; 29585 bytes
[2023-01-24 10:09:59] Saving 862 values; 29585 bytes
[2023-01-24 10:10:03] Saving 862 values; 29585 bytes
[2023-01-24 10:10:15] Saving 862 values; 29519 bytes
[2023-01-24 10:10:17] Saving 862 values; 29519 bytes
[2023-01-24 10:10:18] Saving 862 values; 29519 bytes
[2023-01-24 10:10:19] Saving 862 values; 29519 bytes
[2023-01-24 10:10:19] Saving 862 values; 29519 bytes
[2023-01-24 10:10:22] Saving 862 values; 29519 bytes
[2023-01-24 10:10:22] Saving 862 values; 29512 bytes
[2023-01-24 10:10:22] Saving 862 values; 29512 bytes
[2023-01-24 10:11:15] Saving 862 values; 29571 bytes
[2023-01-24 10:11:24] Saving 862 values; 29585 bytes
[2023-01-24 10:18:55] Saving 862 values; 29585 bytes
[2023-01-24 10:19:09] Saving 862 values; 29585 bytes
[2023-01-24 10:19:42] Saving 862 values; 29585 bytes
[2023-01-24 10:20:48] Saving 862 values; 29585 bytes
[2023-01-24 10:21:29] Saving 862 values; 29585 bytes
[2023-01-24 10:21:48] Saving 862 values; 29569 bytes
[2023-01-24 10:22:51] Saving 862 values; 29574 bytes
[2023-01-24 10:23:09] Saving 862 values; 29574 bytes
[2023-01-24 10:24:49] Saving 862 values; 29560 bytes
[2023-01-24 10:27:14] Saving 862 values; 29571 bytes
[2023-01-24 10:28:51] Saving 862 values; 29585 bytes
[2023-01-24 10:30:03] Saving 862 values; 29585 bytes
[2023-01-24 10:30:32] Saving 862 values; 29585 bytes
[2023-01-24 10:30:49] Saving 862 values; 29585 bytes
[2023-01-24 10:31:14] Saving 862 values; 29585 bytes
[2023-01-24 10:33:30] Saving 862 values; 29569 bytes
[2023-01-24 10:33:54] Saving 862 values; 29585 bytes
[2023-01-24 10:34:24] Saving 862 values; 29585 bytes
[2023-01-24 10:34:41] Saving 862 values; 29585 bytes
[2023-01-24 10:34:49] Saving 862 values; 29585 bytes
[2023-01-24 10:34:57] Saving 863 values; 29618 bytes
[2023-01-24 10:35:04] Saving 863 values; 29618 bytes
[2023-01-24 10:36:03] Saving 864 values; 29631 bytes
[2023-01-24 10:37:49] Saving 864 values; 29615 bytes
[2023-01-24 10:37:49] Saving 864 values; 29631 bytes
[2023-01-24 10:38:16] Saving 864 values; 29631 bytes
[2023-01-24 10:38:57] Saving 864 values; 29631 bytes
[2023-01-24 10:39:49] Saving 864 values; 29631 bytes
[2023-01-24 10:40:47] Saving 864 values; 29631 bytes
[2023-01-24 10:40:49] Saving 864 values; 29615 bytes
[2023-01-24 10:40:59] Saving 864 values; 29615 bytes
[2023-01-24 10:41:24] Saving 864 values; 29615 bytes
[2023-01-24 10:42:32] Saving 864 values; 29631 bytes
[2023-01-24 10:42:45] Saving 864 values; 29631 bytes
[2023-01-24 10:42:49] Saving 864 values; 29631 bytes
[2023-01-24 10:43:19] Saving 864 values; 29631 bytes
[2023-01-24 10:43:54] Saving 864 values; 29631 bytes
[2023-01-24 10:44:09] Saving 864 values; 29631 bytes
[2023-01-24 10:44:24] Saving 864 values; 29631 bytes
[2023-01-24 10:44:45] Saving 864 values; 29631 bytes
[2023-01-24 10:44:49] Saving 864 values; 29631 bytes
[2023-01-24 10:45:36] Saving 864 values; 29631 bytes
[2023-01-24 10:47:08] Saving 864 values; 29615 bytes
[2023-01-24 10:47:40] Saving 864 values; 29615 bytes
[2023-01-24 10:48:06] Saving 864 values; 29631 bytes
[2023-01-24 10:48:42] Saving 864 values; 29631 bytes
[2023-01-24 10:49:55] Saving 864 values; 29631 bytes
[2023-01-24 10:50:35] Saving 864 values; 29631 bytes
[2023-01-24 10:50:49] Saving 864 values; 29631 bytes
[2023-01-24 10:50:59] Saving 864 values; 29631 bytes
[2023-01-24 10:51:57] Saving 864 values; 29631 bytes
[2023-01-24 10:52:24] Saving 864 values; 29631 bytes
[2023-01-24 10:53:17] Saving 864 values; 29631 bytes
[2023-01-24 10:53:29] Saving 864 values; 29631 bytes
[2023-01-24 10:54:09] Saving 864 values; 29631 bytes
[2023-01-24 10:54:31] Saving 864 values; 29631 bytes
[2023-01-24 10:55:07] Saving 864 values; 29631 bytes
[2023-01-24 10:55:08] Saving 865 values; 29658 bytes
[2023-01-24 10:56:19] Saving 865 values; 29642 bytes
[2023-01-24 10:56:59] Saving 865 values; 29658 bytes
[2023-01-24 10:58:46] Saving 865 values; 29658 bytes
[2023-01-24 10:58:49] Saving 865 values; 29658 bytes
